"Location: Morogoro R1,R2,R3"																								
"Period: 2018-07-14"																								
"Parameter: Number of survived plants (Maize, per plot)"																								
"Field"	"Control"	"PSL"	"SL"	"PS"	"PL"	"S"	"L"	"P"																
"Morogoro R1"	66	42	" "	78	40	13.857	" "	61																
"Morogoro R2"	66	40	46	69	34	47	42	64																
"Morogoro R3"	41	52	43	52	43	75	31	37																
"Mean"	57.6666666667	44.6666666667	44.5	66.3333333333	39	45.2856666667	36.5	54																
"Standard deviation"	11.7851130198	5.2493385827	1.5	10.7806410859	3.7416573868	24.990942577	5.5	12.0830459736																
" "																								
" "																								
" "																								
"Location: Morogoro R1,R2,R3"																								
"Period: 2018-07-14"																								
"Parameter: Weight of harvested kernels (Maize, kg per plot)"																								
"Field"	"Control"	"PSL"	"SL"	"PS"	"PL"	"S"	"L"	"P"																
"Morogoro R1"	2.965	7.558	7.343	10.252	5.848	" "	3.055	3.481																
"Morogoro R2"	4.665	7.782	8.961	10.298	3.137	10.09	" "	3.812																
"Morogoro R3"	1.947	7.724	8.025	9.584	3.202	13.707	1.549	1.238																
"Mean"	3.1923333333	7.688	8.1096666667	10.0446666667	4.0623333333	11.8985	2.302	2.8436666667																
"Standard deviation"	1.1212021326	0.0949245314	0.6632532615	0.3262814055	1.2629358214	1.8085	0.753	1.1433909607																
" "																								
" "																								
" "																								
"Location: Morogoro R1,R2,R3"																								
"Period: 2018-04-17"																								
"Parameter: Plant size (Maize, cm)"																								
" "	"Morogoro R1"	" "	" "	" "	" "	" "	" "	" "	"Morogoro R2"	" "	" "	" "	" "	" "	" "	" "	"Morogoro R3"							
"Sample number"	"Control"	"PSL"	"SL"	"PS"	"PL"	"S"	"L"	"P"	"Control"	"PSL"	"SL"	"PS"	"PL"	"S"	"L"	"P"	"Control"	"PSL"	"SL"	"PS"	"PL"	"S"	"L"	"P"
1	140	190	230	105	144	153	68	117	60	230	250	217	124	310	77	158	130	198	178	256	90	200	99	140
2	180	200	260	114	95	253	70	90	99	210	225	293	127	170	180	104	124	232	220	223	158	250	70	70
3	160	380	240	295	125	324	100	160	102	200	206	210	109	258	123	168	90	309	183	250	144	220	50	98
4	110	300	265	280	268	270	158	94	178	145	266	114	140	265	165	150	75	170	114	244	110	240	105	127
5	128	180	190	230	177	213	130	159	106	270	154	233	138	302	168	120	75	245	183	202	105	187	95	90
6	147	257	280	240	140	207	189	157	96	198	190	285	130	265	132	150	104	225	160	266	197	227	75	87
7	68	220	255	180	216	244	164	60	122	253	294	238	99	165	123	158	80	247	220	215	150	200	60	180
8	80	234	189	224	147	190	158	77	105	227	234	220	165	197	124	100	110	185	240	176	132	240	88	80
9	110	146	225	147	138	187	155	145	110	260	194	140	160	167	154	149	98	255	229	232	170	270	110	70
10	130	176	285	158	102	287	180	113	83	180	210	113	199	176	165	140	100	260	160	164	85	220	79	102
11	142	158	198	136	213	240	160	143	86	235	160	293	101	126	164	108	130	170	179	167	65	198	53	180
12	135	230	195	269	96	321	68	80	95	265	154	113	110	254	151	156	75	309	168	168	94	188	65	70
13	164	154	186	235	95	153	96	98	96	256	294	156	114	236	98	124	98	186	165	198	84	189	98	80
14	135	168	195	246	195	156	95	91	86	254	165	156	115	235	145	132	98	186	163	235	67	212	76	86
15	198	164	196	259	135	157	86	92	75	234	178	135	160	265	96	124	95	175	234	215	75	236	85	95
16	165	197	208	211	126	167	75	112	73	212	198	165	99	165	68	154	76	265	235	265	72	235	65	87
17	134	187	265	265	165	194	180	160	78	232	134	195	124	245	98	165	98	235	254	254	95	245	85	75
18	182	265	234	244	158	164	123	135	76	254	124	165	132	265	84	132	95	254	257	212	123	265	65	85
