"Location: Masasi R1,R2,R3"																									
"Period: 2018-06-20"																									
"Parameter: Stem diameter (Maize, mm)"																									
" "	"Masasi R1"	" "	" "	" "	" "	" "	" "	" "	"Masasi R2"	" "	" "	" "	" "	" "	" "	" "	" "	"Masasi R3"							
"Sample number"	"Control"	"PSL"	"SL"	"PS"	"PL"	"S"	"L"	"P"	"Control"	"PSL"	"SL"	"PS"	"PL"	"S"	"L"	"P"	"P"	"Control"	"PSL"	"SL"	"PS"	"PL"	"S"	"L"	"P"
1	8	13	11	9	10	8	8	10	10	10	10		10	9	9	8	9	9	10	9	9	3	9	9	3
2	9	3	8	10	10	8	8	6	10	10	10	" "	9	10	10	10	6	10	9	9	9	3	9	9	3
3	9	5	11	10	10	9	7	9	9	9	9	" "	10	9	9	10	9	9	10	10	4	3	10	10	4
4	10	6	10	9	9	8	6	5	7	10	10	" "	9	9	9	11	10	9	10	10	9	2	10	8	3
5	9	10	10	10	11	8	7	9	9	11	9	" "	10	10	9	10	9	8	9	11	8	2	11	9	3
6	9	10	8	9	10	6	8	9	10	10	8	" "	11	8	9	11	9	10	9	10	9	3	10	10	4
7	7	10	10	8	10	9	9	10	9	10	9	" "	11	9	10	8	10	9	9	9	10	2	9	9	3
8	9	12	9	9	10	9	4	4	10	9	10	" "	9	8	10	9	9	10	7	9	8	2	9	10	3
9	9	12	10	9	10	8	4	9	9	10	10	" "	8	10	9	9	11	7	9	10	9	2	10	9	3
10	9	11	10	9	10	8	7	10	9	10	10	" "	10	9	10	10	9	9	9	10	8	2	10	4	3
11	10	6	10	10	9	7	9	9	10	9	10	" "	8	8	9	10	8	11	11	10	10	2	10	9	3
12	9	10	11	10	10	10	8	11	9	9	10	" "	10	9	10	9	3	10	9	10	9	3	10	9	4
13	8	11	12	10	10	9	8	9	8	10	10	" "	10	9	9	10	10	10	8	10	10	3	10	10	4
14	9	10	10	9	10	9	9	8	8	10	11	" "	10	9	10	10	9	9	9	11	9	3	11	4	2
15	10	10	10	9	9	8	9	2	8	9	11	" "	9	7	10	10	8	10	8	10	10	2	10	9	3
"Number of samples"	15	15	15	15	15	15	15	15	15	15	15	0	15	15	15	15	15	15	15	15	15	15	15	15	15
"Mean"	8.9333333333	9.2666666667	10	9.3333333333	9.8666666667	8.2666666667	7.4	8	9	9.7333333333	9.8	0	9.6	8.8666666667	9.4666666667	9.6666666667	8.6	9.3333333333	9.0666666667	9.8666666667	8.7333333333	2.4666666667	9.8666666667	8.5333333333	3.2
"Standard deviation"	0.7717224602	2.7920522122	1.032795559	0.596284794	0.4988876516	0.9285592185	1.5832456116	2.4765567495	0.894427191	0.5734883511	0.7483314774	0	0.8793937306	0.8055363982	0.4988876516	0.8692269874	1.8547236991	0.9428090416	0.9285592185	0.618241233	1.4360439486	0.4988876516	0.618241233	1.857118437	0.5416025603
" "																									
" "																									
" "																									
