"Location: Masasi R1,R2,R3"																								
"Period: from 01/06/2018 to 30/06/2018"																								
"Parameter: Plant size (Cassava)"																								
" "																								
" "	"Masasi R1"	" "	" "	" "	" "	" "	" "	" "	"Masasi R2"	" "	" "	" "	" "	" "	" "	" "	"Masasi R3"							
" "	"Control"	"PSL"	"SL"	"PS"	"PL"	"S"	"L"	"P"	"Control"	"PSL"	"SL"	"PS"	"PL"	"S"	"L"	"P"	"Control"	"PSL"	"SL"	"PS"	"PL"	"S"	"L"	"P"
"Sample number"	"2018-06-11"	"2018-06-11"	"2018-06-11"	"2018-06-11"	"2018-06-11"	"2018-06-11"	"2018-06-11"	"2018-06-11"	"2018-06-11"	"2018-06-11"	"2018-06-11"	"2018-06-11"	"2018-06-11"	"2018-06-11"	"2018-06-11"	"2018-06-11"	"2018-06-11"	"2018-06-11"	"2018-06-11"	"2018-06-11"	"2018-06-11"	"2018-06-11"	"2018-06-11"	"2018-06-11"
1	167	124	96	153	79	148	57	150	158	113	0	156	60	164	98	120	141	0	0	126	42	190	140	98
2	155	121	105	110	91	123	52	156	130	123	105	128	0	195	85	180	177	0	103	123	60	155	92	123
3	162	122	112	130	0	123	52	150	0	72	105	135	0	167	0	202	191	0	131	148	92	126	93	108
4	187	70	0	163	80	126	61	102	116	42	147	146	51	182	32	137	178	110	75	135	76	130	83	95
5	168	72	106	90	112	127	62	168	130	109	158	146	8	216	117	146	150	0	72	142	116	87	76	142
6	158	78	107	166	37	99	49	154	50	34	55	47	43	215	46	170	177	64	67	143	81	174	90	103
7	145	77	130	111	125	103	63	183	132	134	115	143	0	119	37	0	146	64	0	149	83	185	87	96
8	96	64	110	85	0	87	0	183	123	0	149	87	39	195	36	90	200	61	126	142	85	188	128	125
9	141	0	124	132	36	126	48	96	144	104	111	0	119	173	0	167	144	33	105	102	66	180	75	82
10	169	123	117	109	175	126	72	91	141	59	130	126	65	145	57	157	174	56	127	135	55	158	90	68
" "																								
"Number of samples"	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
"Mean"	154.8	85.1	100.7	124.9	73.5	118.8	51.6	143.3	112.4	79	107.5	111.4	38.5	177.1	50.8	136.9	167.8	38.8	80.6	134.5	75.6	157.3	95.4	104
"Standard deviation"	23.1680814916	37.1522543058	34.8282930963	27.358545283	53.2526994621	16.6240789219	18.5860162488	32.8726329946	46.4245624643	42.1022564716	45.5329550985	48.559654035	36.3297398835	28.8286316012	37.1020215083	54.5993589706	19.9087920276	36.3092274773	45.9721654917	13.5591297656	19.9057780556	32.009529831	20.3577994882	20.5523721259
