"Location: Masasi R1,R2,R3"																								
"Period: from 01/06/2018 to 30/06/2018"																								
"Parameter: Plant size (Cassava)"																								
" "																								
" "	"Masasi R1"	" "	" "	" "	" "	" "	" "	" "	"Masasi R2"	" "	" "	" "	" "	" "	" "	" "	"Masasi R3"							
"Sample number"	"P"	"S"	"PS"	"SL"	"L"	"PL"	"Control"	"PSL"	"PL"	"SL"	"L"	"S"	"PS"	"P"	"PSL"	"Control"	"S"	"P"	"Control"	"PL"	"PSL"	"SL"	"PS"	"L"
1	150	148	153	96	57	79	167	124	60	0	98	164	156	120	113	158	190	98	141	42	0	0	126	140
2	156	123	110	105	52	91	155	121	0	105	85	195	128	180	123	130	155	123	177	60	0	103	123	92
3	150	123	130	112	52	0	162	122	0	105	0	167	135	202	72	0	126	108	191	92	0	131	148	93
4	102	126	163	0	61	80	187	70	51	147	32	182	146	137	42	116	130	95	178	76	110	75	135	83
5	168	127	90	106	62	112	168	72	8	158	117	216	146	146	109	130	87	142	150	116	0	72	142	76
6	154	99	166	107	49	37	158	78	43	55	46	215	47	170	34	50	174	103	177	81	64	67	143	90
7	183	103	111	130	63	125	145	77	0	115	37	119	143	0	134	132	185	96	146	83	64	0	149	87
8	183	87	85	110	0	0	96	64	39	149	36	195	87	90	0	123	188	125	200	85	61	126	142	128
9	96	126	132	124	48	36	141	0	119	111	0	173	0	167	104	144	180	82	144	66	33	105	102	75
10	91	126	109	117	72	175	169	123	65	130	57	145	126	157	59	141	158	68	174	55	56	127	135	90
" "																								
"Number of samples"	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
"Mean"	143.3	118.8	124.9	100.7	51.6	73.5	154.8	85.1	38.5	107.5	50.8	177.1	111.4	136.9	79	112.4	157.3	104	167.8	75.6	38.8	80.6	134.5	95.4
"Standard deviation"	32.8726329946	16.6240789219	27.358545283	34.8282930963	18.5860162488	53.2526994621	23.1680814916	37.1522543058	36.3297398835	45.5329550985	37.1020215083	28.8286316012	48.559654035	54.5993589706	42.1022564716	46.4245624643	32.009529831	20.5523721259	19.9087920276	19.9057780556	36.3092274773	45.9721654917	13.5591297656	20.3577994882
